compound_id,target_id,pubmed_id,standard_value,standard_units
CHEMBL1336,Q9H422,22037378,440,NM
CHEMBL939,Q9Y6M4,21336281,6309,NM
CHEMBL939,P30530,22037378,1800,NM
CHEMBL1336,Q12866,22037378,3600,NM
CHEMBL939,Q9P286,22037378,10000,NM
CHEMBL1421,P07332,22037378,10000,NM
CHEMBL10,Q13164,22037378,10000,NM
CHEMBL939,P48729,18849971,50000,NM
CHEMBL10,Q9H2X6,22037378,10000,NM
CHEMBL10,P04629,22037378,10000,NM
CHEMBL103667,Q96L34,22037378,10000,NM
CHEMBL103667,Q9Y2H9,22037378,10000,NM
CHEMBL1421,Q16539,21336281,31,NM
